1-3J72KR4S; falta-stock ;,2026-04-07 21:17:49
1-3IU3KRBE ; producto erroneo ;,2026-04-07 21:18:02
1-3J72PXAZ ; Declarada o En Proceso ;,2026-04-07 21:18:09
1-3J72S71Z ; Declarada o En Proceso ;,2026-04-07 21:18:17
1-3J72TM8C ; Declarada o En Proceso ;,2026-04-07 21:18:26
1-3IUPBFAK ; producto erroneo ;,2026-04-07 21:18:56
1-3J72V4T8 ; Codigo de material no reconocido ;,2026-04-07 21:19:35
1-3J734HQK ; Declarada o En Proceso ;,2026-04-07 21:19:49
1-3IVPUY35 ; producto erroneo ;,2026-04-07 21:19:50
1-3J73EJV2 ; Declarada o En Proceso ;,2026-04-07 21:19:57
1-3J73FSV2 ; Declarada o En Proceso ;,2026-04-07 21:20:06
1-3J73GXMK ; Declarada o En Proceso ;,2026-04-07 21:20:14
1-3J73OLWF ; Declarada o En Proceso ;,2026-04-07 21:20:22
1-3IW23PUK ; producto erroneo ;,2026-04-07 21:20:44
1-3IW8OI45 ; producto erroneo ;,2026-04-07 21:21:38
1-3IWTVOJY ; producto erroneo ;,2026-04-07 21:22:32
1-3IXQEAIC ; Codigo de material no reconocido ;,2026-04-07 21:23:20
1-3IXRE4ME ; producto erroneo ;,2026-04-07 21:24:14
1-3J744JNA; falta-stock ;,2026-04-07 21:24:27
1-3J7458BO ; Declarada o En Proceso ;,2026-04-07 21:24:42
1-3J746XFQ ; Declarada o En Proceso ;,2026-04-07 21:24:50
1-3J74821K ; Declarada o En Proceso ;,2026-04-07 21:24:59
1-3IXYBHXI ; producto erroneo ;,2026-04-07 21:25:08
1-3IXSKJTU ; Codigo de material no reconocido ;,2026-04-07 21:25:55
1-3J748TG9; falta-stock ;,2026-04-07 21:26:32
1-3IZ8YJMS ; producto erroneo ;,2026-04-07 21:26:49
1-3J74CRBT ; Declarada o En Proceso ;,2026-04-07 21:26:53
1-3J74FVG8 ; Declarada o En Proceso ;,2026-04-07 21:27:01
1-3IZ32K39 ; producto erroneo ;,2026-04-07 21:27:43
1-3J74MXIC ; Codigo de material no reconocido ;,2026-04-07 21:27:49
1-3IZVTPDT ; Codigo de material no reconocido ;,2026-04-07 21:28:31
